 ik      kx      ky      kz   gamma_raw  gamma_lowdin
192  -0.052   0.244  -0.145      0.2110        0.2110
193  -0.052   0.371  -0.069      0.1948        0.1948
194  -0.052   0.371   0.076      0.2080        0.2080
195  -0.053   0.371   0.221      0.1856        0.1856
196  -0.052   0.371  -0.504      0.2183        0.2183
197  -0.052   0.371  -0.359      0.2180        0.2180
198  -0.052   0.371  -0.214      0.1860        0.1860
199  -0.052  -0.266   0.277      0.1976        0.1976
200  -0.052  -0.266   0.421      0.1809        0.1809
201  -0.052  -0.266   0.566      0.2183        0.2183
202  -0.051  -0.266  -0.158      0.2099        0.2099
203  -0.051  -0.266  -0.013      0.2494        0.2494
204  -0.051  -0.266   0.132      0.3041        0.3041
205  -0.052  -0.138   0.207      0.2757        0.2757
206  -0.052  -0.138   0.352      0.2080        0.2080
207  -0.052  -0.138   0.497      0.2180        0.2180
208  -0.051  -0.138  -0.227      0.2494        0.2494
209  -0.051  -0.138  -0.082      0.4021        0.4021
210  -0.052  -0.138   0.063      0.2765        0.2765
211  -0.052  -0.011   0.138      0.3834        0.3834
212  -0.052  -0.011   0.283      0.2110        0.2110
213  -0.052  -0.011   0.428      0.1860        0.1860
214  -0.051  -0.011  -0.296      0.3041        0.3041
215  -0.052  -0.011  -0.151      0.2765        0.2765
216  -0.052  -0.011  -0.007      1.8295        1.8295
------------------------------------------------
max gamma (raw)    = 2.1116
max gamma (lowdin) = 2.1116   <-- reported spillage
JARVIS (VASP) reference for Ba3BiSb = 2.267
